qa_id,question,answer,category,page_section_ref,regulation_clause,curriculum_program,plan,ground_truth_source
1,หลักสูตร DSBA (แผน coop) มีรายวิชาในแผนการศึกษาทั้งหมดกี่รายวิชา?,"45 รายวิชาในแผนการศึกษา (ไม่รวมกลุ่มวิชาเลือกเฉพาะสาขาในตาราง Elective Pool อีก 45 รายวิชา, รวมทั้งหมด 90 รายวิชา)",Curriculum Structure,ภาพรวมโครงสร้างหลักสูตร,ข้อบังคับฯ ว่าด้วยการศึกษาระดับปริญญาตรี — โครงสร้างหลักสูตร,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
2,หลักสูตร DSBA (แผน coop) มีวิชาบังคับกี่รายวิชา?,36 รายวิชาบังคับ,Curriculum Structure,ภาพรวมโครงสร้างหลักสูตร,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
3,หลักสูตร DSBA (แผน coop) มีวิชาเลือกทั้งหมดกี่รายวิชา?,54 รายวิชาเลือก (รวมวิชาเลือกเฉพาะสาขา วิชาเลือกศึกษาทั่วไป และวิชาเลือกเสรี),Curriculum Structure,ภาพรวมโครงสร้างหลักสูตร,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
4,หลักสูตร DSBA มีรายวิชาในหมวดวิชาศึกษาทั่วไปกี่รายวิชา?,10 รายวิชา,Curriculum Structure,ภาพรวมโครงสร้างหลักสูตร,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
5,หลักสูตร DSBA มีรายวิชาในหมวดวิชาเฉพาะกี่รายวิชา?,78 รายวิชา,Curriculum Structure,ภาพรวมโครงสร้างหลักสูตร,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
6,หลักสูตร DSBA มีรายวิชาในหมวดวิชาเลือกเสรีกี่รายวิชา?,2 รายวิชา,Curriculum Structure,ภาพรวมโครงสร้างหลักสูตร,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
7,ปีที่ 1 ภาคเรียนที่ 1 ของหลักสูตร DSBA ต้องเรียนกี่วิชา?,8 รายวิชา รวม 21 หน่วยกิต,Study Plan,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
8,รายวิชาที่ต้องเรียนในปีที่ 1 ภาคเรียนที่ 1 ของหลักสูตร DSBA มีอะไรบ้าง?,"06016401 คณิตศาสตร์สำหรับเทคโนโลยีสารสนเทศ, 06026200 แคลคูลัส 1, 06026202 พีชคณิตเชิงเส้น, 06066101 พื้นฐานทางธุรกิจสำหรับเทคโนโลยีสารสนเทศ, 06066303 การแก้ปัญหาและโปรแกรมคอมพิวเตอร์, 90641001 โรงเรียนสร้างเสน่าห์, 90641003 กีฬาและนันทนาการ, 90644007 ภาษาอังกฤษพื้นฐาน 1",Study Plan,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
9,ปีที่ 1 ภาคเรียนที่ 1 ของหลักสูตร DSBA รวมกี่หน่วยกิต?,21 หน่วยกิต,Study Plan,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
10,ปีที่ 1 ภาคเรียนที่ 2 ของหลักสูตร DSBA ต้องเรียนกี่วิชา?,7 รายวิชา รวม 21 หน่วยกิต,Study Plan,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
