row_number,code,name_th,name_en,credits,year,semester,year_semester_display,category,type,elective_group,prerequisite,flexible_year_semester,note,program,plan,ground_truth_source
1,06016401,คณิตศาสตร์สำหรับเทคโนโลยีสารสนเทศ,MATHEMATICS FOR INFORMATION TECHNOLOGY,3(3-0-6),1,1,1/1,หมวดวิชาเฉพาะ,บังคับ,บังคับ (Required),ไม่มี,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
2,06026200,แคลคูลัส 1,CALCULUS 1,3(3-0-6),1,1,1/1,หมวดวิชาเฉพาะ,บังคับ,บังคับ (Required),ไม่มี,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
3,06026202,พีชคณิตเชิงเส้น,LINEAR ALGEBRA,3(3-0-6),1,1,1/1,หมวดวิชาเฉพาะ,บังคับ,บังคับ (Required),ไม่มี,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
4,06066101,พื้นฐานทางธุรกิจสำหรับเทคโนโลยีสารสนเทศ,BUSINESS FUNDAMENTALS FOR INFORMATION TECHNOLOGY,3(3-0-6),1,1,1/1,หมวดวิชาเฉพาะ,บังคับ,บังคับ (Required),ไม่มี,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
5,06066303,การแก้ปัญหาและโปรแกรมคอมพิวเตอร์,PROBLEM SOLVING AND COMPUTER PROGRAMMING,3(2-2-5),1,1,1/1,หมวดวิชาเฉพาะ,บังคับ,บังคับ (Required),ไม่มี,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
6,90641001,โรงเรียนสร้างเสน่าห์,CHARM SCHOOL,2(1-2-3),1,1,1/1,หมวดวิชาศึกษาทั่วไป,บังคับ,บังคับ (Required),ไม่มี,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
7,90641003,กีฬาและนันทนาการ,SPORTS AND RECREATIONAL ACTIVITIES,1(0-3-2),1,1,1/1,หมวดวิชาศึกษาทั่วไป,บังคับ,บังคับ (Required),ไม่มี,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
8,90644007,ภาษาอังกฤษพื้นฐาน 1,FOUNDATION ENGLISH 1,3(3-0-6),1,1,1/1,หมวดวิชาศึกษาทั่วไป,บังคับ,บังคับ (Required),ไม่มี,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
9,06026201,แคลคูลัส 2,CALCULUS 2,3(3-0-6),1,2,1/2,หมวดวิชาเฉพาะ,บังคับ,บังคับ (Required),06026200,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
10,06026203,การโปรแกรมคอมพิวเตอร์,COMPUTER PROGRAMMING,3(2-2-5),1,2,1/2,หมวดวิชาเฉพาะ,บังคับ,บังคับ (Required),ไม่มี,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
